Id,Label,Owner,Role,Longitude,Latitude,ref
36,San Lorenzo,Enlasa,Plant,-70.0379576216,-26.4003538809,original
37,Carrera Pinto,Transelec,Switch,-70.0750487253,-26.8269067181,converted
38,Alto Melipilla,Chilquinta,Substation,-71.2460728297,-33.6875392503,original
39,Bajo Melipilla,Transnet,Tap-ed,-71.2033115515,-33.6976152795,original
40,Las Arañas,Transnet,Tap-ed,-71.4133888115,-33.9082265341,original
41,Reguladora Rapel,Transnet,Tap-ed,-71.5840059334,-34.039342191,original
42,San Andres,San Andres,Plant,-70.1112207529,-27.2542245193,original
43,Las Palmas,Transelec,Substation,-71.5897489479,-31.2880478927,original
44,Totoral 1,Norvind,Plant,-71.6110342975,-31.3255998584,original
45,Lautaro,Transnet,Substation,-72.4612955172,-38.5413615936,original
46,Angol,Transnet,Tap-ed,-72.657591055,-37.8231718293,original
47,Cardones,Central Cardones,Plant,-70.386436207,-27.487597634,original
48,Los Maquis,Transnet,Tap-ed,-71.6602315786,-35.1649669039,converted
49,Licanten,Arauco Generacion,Plant,-72.0199378079,-34.9881912236,original
50,Tap Vizcachas,Unknown,Tap node,-70.5082765479,-33.5746390051,original
51,Puente Alto,EEPA,Substation,-70.5573221445,-33.6080414261,original
52,Tap Maule,Unknown,Tap node,-71.5305052519,-35.5003464909,converted
53,Linares,Transnet,Substation,-71.6282960961,-35.845150581,original
54,Maitencillo,Transelec,Substation,-70.9244721687,-28.5347206226,original
55,Jorquera,Mineral Lumina Copper,Substation,-69.9766992985,-28.0438163986,original
56,Tap El Eden,Transelec,Switch,-70.7847785818,-28.6054763171,converted
57,Rio Huasco,Hidroelectrica Rio Huasco,Plant,-70.6450849949,-28.6761843931,original
58,Cenizas,Electrica Cenizas,Plant,-70.3897434007,-27.4809482699,original
59,SDGx01,SDGx01,Plant,-71.0924813827,-30.2271628532,original
60,El Peñon,Transnet,Substation,-71.2292507045,-30.1441103674,original
61,Illapel,Transnet,Substation,-71.1471742601,-31.6244322923,original
62,Punitaqui,Transnet,Substation,-71.2433728583,-30.8561956588,original
63,Esperanza,Colbun,Tap-ed,-71.0101419189,-32.8425099479,original
64,Pachacama,Chilquinta,Switch,-71.074272724,-32.8660972477,converted
65,Tap Achupallas,Chilquinta,Switch,-71.5159981116,-33.0332186789,original
66,Concon,Chilquinta,Tap-ed,-71.5162879001,-32.9344326135,original
67,Los Almendros,Chilectra,Substation,-70.5082285636,-33.4277881555,original
68,Tap Apoquindo,Unknown,Tap node,-70.5644116329,-33.4095963509,original
69,El Salto,Chilectra,Substation,-70.6286241716,-33.3591688306,original
70,Tap El Manzano,Chilectra,Switch,-70.7440720243,-33.2777547405,converted
71,Tap Lo Aguirre,Unknown,Tap node,-70.8990916413,-33.4417940901,converted
72,Cerro Navia,Chilectra,Tap-ed,-70.7294587882,-33.4209321676,original
73,Tap Maipu,Unknown,Tap node,-70.7307522907,-33.4879946098,converted
74,Lircay,Hidromaule,Plant,-71.2613552647,-35.5372508006,original
75,Providencia,Hidroprovidencia,Plant,-71.2728826323,-35.4696876898,original
76,Tap Lo Espejo,Unknown,Tap node,-70.7208125175,-33.5292384812,converted
77,Tap Lo Espejo (FFCC),Unknown,Tap node,-70.7116133225,-33.530679374,converted
78,Renca,Chilectra,Substation,-70.689381179,-33.4171836332,original
79,EST 17,Unknown,Tap node,-72.3753586917,-37.490094475,original
80,Guacolda,Guacolda,Plant,-71.2572509162,-28.4673299744,original
81,Florida,Chilectra,Switch,-70.5458028471,-33.5479564528,converted
82,Ochagavia,Chilectra,Substation,-70.667516184,-33.4794970934,original
83,Huasco,Transelec,Substation,-71.2525686446,-28.4704376246,original
84,Huasco,Transelec,Plant,-71.2525818536,-28.4707403626,original
85,Tap Buin,Unknown,Tap node,-70.6916669196,-33.7102554036,original
86,Tap Santa Rosa Sur,Unknown,Tap node,-70.6117928198,-33.613388767,converted
87,Lo Espejo,Chilectra,Switch,-70.7065339865,-33.6202192359,converted
88,Buin,Chilectra,Substation,-70.6922554555,-33.7111040331,original
89,Tap Algarrobo,Chilquinta,Tap-ed,-71.5934869567,-33.3680836277,original
90,Agua Santa,Chilquinta,Substation,-71.5422416106,-33.0765697685,original
91,Tap El Manzano,Unknown,Switch,-70.7920409361,-33.1595892577,original
92,San Antonio,Chilquinta,Tap-ed,-71.6034829964,-33.6015149162,original
93,Rancagua,Transelec,Substation,-70.7262144557,-34.1665002987,original
94,Punta de Cortes,Transnet,Substation,-70.8399235079,-34.1841935543,original
95,Tap Los Lirios,Transnet,Switch,-70.7631194118,-34.2355887575,original
96,Pelequen,Transnet,Tap-ed,-70.891044166,-34.472500167,original
97,Tap Punta de Cortes,Transnet,Switch,-70.8403726655,-34.1845651126,converted
98,Tap Malloa Nueva,Unknown,Tap node,-70.8334160978,-34.4671308261,converted
99,Teno,Transnet,Substation,-71.1416671792,-34.8685636567,original
100,Pan de Azucar,Transelec,Substation,-71.2796731929,-29.9771338864,original
101,Talca,Transnet,Substation,-71.6399736674,-35.4374904611,original
102,San Ignacio,Colbun,Plant,-71.5413000695,-35.6146176896,original
103,Itahue,Transelec,Substation,-71.3674326153,-35.1396350165,original
104,Cipreses,Endesa,Plant,-70.8083703952,-35.7872181968,original
105,Ancoa,Transelec,Substation,-71.378769157,-35.6840939794,original
106,Tap Longavi,Transnet,Switch,-71.6960803588,-35.9628215618,original
107,Parral,Transnet,Substation,-71.8052362446,-36.133366638,original
108,Charrua,Transelec,Substation,-72.3208141857,-37.0907869384,original
109,Penco,Transnet,Tap-ed,-72.9905517812,-36.7437468281,original
110,Lirquen Indura,Indura,Substation,-72.9739241029,-36.7186972689,original
111,Cerro Chepe,Unknown,Switch,-73.0733229169,-36.8238772452,original
112,Tap Loma Colorada,Unknown,Tap node,-73.1315022866,-36.9337511308,converted
113,Palmucho,Endesa,Plant,-71.47134997,-38.0452081119,original
114,Tap Zona de Caida,Unknown,Tap node,-71.5133967146,-37.9992685721,original
115,Tap Maria Dolores,Unknown,Switch,-72.5161015304,-37.1902226484,converted
116,Tap Celulosa Santa Fe,Unknown,Tap node,-72.5507190158,-37.4991970688,converted
117,Los Angeles,Transnet,Tap-ed,-72.3682522268,-37.4810250968,original
118,Tap Renaico,Transnet,Switch,-72.5802802428,-37.6756529995,original
119,Pullinque,Transnet,Plant,-72.2174508857,-39.5956718658,original
120,Padre Las Casas,Transnet,Tap-ed,-72.6079614716,-38.7743060697,original
121,San Pedro,AES Gener,Tap-ed,-71.2645201019,-32.9361370473,original
122,Ovalle,Transnet,Substation,-71.1873865321,-30.5967193373,original
123,Tap Talinay Oriente,Unknown,Tap node,-71.4869606457,-30.714403359,converted
124,Talinay Oriente,Parque Eolico Talinay,Plant,-71.5914597964,-30.8733907378,original
125,Tap Monte Redondo,Unknown,Tap node,-71.658275219,-31.0777116875,converted
126,Monte Redondo,EMR,Plant,-71.6578260613,-31.0773269976,original
127,Eolica Punta Palmeras,Punta Palmeras,Plant,-71.6404194613,-31.2344808794,original
128,Canela I,Canela,Plant,-71.6023399986,-31.2883407886,original
129,Elevadora Canela II,Canela,Plant,-71.6011438932,-31.3135987789,corrected
130,Los Vilos,Transelec,Substation,-71.4776754583,-31.9387430035,original
131,Tap Monte Patria,Unknown,Tap node,-70.9559081401,-30.6909596823,converted
132,Monte Patria,Transnet,Substation,-70.9554589825,-30.6905734362,original
133,Tap Punitaqui,Unknown,Tap node,-71.2438220159,-30.8565812407,converted
134,San Gregorio,Tecnored,Plant,-71.81877225,-36.2788154389,original
135,Los Espinos,Potencia,Plant,-71.4503012009,-31.8830065257,original
136,Nogales,Transelec,Switch,-71.2680435371,-32.7107773698,converted
137,Nueva Ventanas,Electrica Ventanas,Tap-ed,-71.4835997471,-32.7501877093,converted
138,Nueva Ventanas,AES Gener,Plant,-71.4831505895,-32.7498099502,original
139,Campiche,AES Gener,Plant,-71.4832965102,-32.7482937004,original
140,Ventanas,AES Gener,Plant,-71.4832894628,-32.7515412045,original
141,Quintero,Chilquinta,Substation,-71.4873000294,-32.7880831969,original
142,Torquemada,AES Gener,Substation,-71.4724050415,-32.9345690277,original
143,Quintero,Endesa,Plant,-71.4855418027,-32.7870742278,original
144,San Luis,Transquillota,Switch,-71.3392061827,-32.9463652807,converted
145,San Isidro,Celta,Plant,-71.338757025,-32.9459883558,original
146,Nehuenco,Colbun,Plant,-71.3231015536,-32.9366244596,original
147,Polpaico,Transelec,Substation,-70.8595198771,-33.1962646532,original
148,Las Vegas,AES Gener,Substation,-71.0109403199,-32.8428578483,original
149,San Vicente,Transelec,Substation,-73.1248695749,-36.7472710533,original
150,Alonso de Ribera,Transnet,Tap-ed,-73.0337001872,-36.8053093299,original
151,Las Vegas,Chilquinta,Plant,-71.0114885552,-32.8428472306,original
152,Fundicion Chagres,Anglo American Sur,Tap-ed,-70.9565823556,-32.8064679727,original
153,Tap Fundicion Chagres,Anglo American Sur,Tap node,-70.8942230589,-32.8041809347,converted
154,Tap San Rafael 110kV,Chilquinta,Tap node,-70.6046251573,-32.8101992165,original
155,Totoralillo,Colbun,Tap-ed,-70.5056865025,-32.8539276889,original
156,Chacabuquito,Colbun,Plant,-70.5061384278,-32.8534803032,original
157,Tap Los Maquis,Unknown,Tap node,-70.4105009354,-32.8656349714,original
158,Aconcagua,Colbun,Tap-ed,-70.3580660138,-32.9418518337,converted
159,Los Quilos,Colbun,Plant,-70.4079816058,-32.8664931449,original
160,Los Maquis,Colbun,Tap-ed,-70.4105009354,-32.8656349714,original
161,Arauco,Celulosa Arauco,Plant,-73.222178696,-37.2091968159,original
162,Horcones,Transnet,Substation,-73.2162971114,-37.2124518041,original
163,Eólica Lebu,Parque Eólico Lebu,Plant,-73.6491305965,-37.686072186,original
164,Chagres,Chilquinta,Tap-ed,-70.9541961599,-32.8045809767,original
165,Los Vientos,AES Gener,Plant,-71.0128466255,-32.8438607769,original
166,Hornitos,Rio Tranquilo,Plant,-70.2633388463,-32.9005715538,original
167,SAG,Codelco Chile,Substation,-70.2557090892,-33.0927816976,original
168,Tap El Llano,Colbun,Switch,-70.5637409706,-33.0942672557,original
169,Miraflores,Chilquinta,Substation,-71.5255100542,-33.0344953167,original
170,Placilla,Chilquinta,Plant,-71.5590607839,-33.1084615129,original
171,Concon (PMG),Tecnored,Plant,-71.4742286582,-32.9331165216,original
172,Colmito,Termoelectrica Colmito,Plant,-71.4740239248,-32.9303690357,original
173,Tap La Ermita,Unknown,Tap node,-70.4075802543,-33.3742818263,original
174,Alfalfal,AES Gener,Plant,-70.1926517347,-33.501244004,original
175,Maitenes,AES Gener,Plant,-70.2616705541,-33.5306985354,original
176,Alfalfal,AES Gener,Substation,-70.1925190166,-33.5014100565,original
177,La Laja,AES Gener,Switch,-70.4197030649,-33.581176077,original
178,Alto Jahuel,Transelec,Substation,-70.6920464333,-33.7139475885,original
179,Apoquindo,Chilectra,Substation,-70.5645884959,-33.4098646736,original
180,Tap Lampa,Unknown,Tap node,-70.7580130519,-33.3189952992,original
181,Lampa,Chilectra,Substation,-70.7574401064,-33.3188140251,original
182,Cerro Navia,Transelec,Substation,-70.729953124,-33.4224556893,original
183,Seccionadora lo Aguirre,Transelec,Tap-ed,-70.8793635447,-33.5062037218,converted
184,Tap Alto Melipilla,Unknown,Tap node,-71.2359347443,-33.6911060067,original
185,Rapel,Transelec,Substation,-71.5849732939,-34.0381144827,original
186,Chena,Transelec,Substation,-70.7256986048,-33.5264058539,original
187,Lo Aquirre,Chilectra,Substation,-70.8986424836,-33.4414192915,original
188,Lo Prado,Chilectra,Tap-ed,-70.9097597231,-33.4567022971,original
189,Maipu,Chilectra,Substation,-70.7327863714,-33.5152147285,original
190,Chena,Chilectra,Tap-ed,-70.7300117126,-33.5277975644,original
191,Lo Espejo (FFCC),EFE,Substation,-70.7111641648,-33.5303049598,original
192,Nueva Renca,AES Gener,Plant,-70.6869681356,-33.4183577352,original
193,Renca,AES Gener,Plant,-70.6885703425,-33.417289457,original
194,EST 1,Unknown,Tap node,-71.2144405271,-34.7819758347,converted
195,San Cristobal,Chilectra,Substation,-70.6393387182,-33.4272966327,original
196,Tap Batuco,Unknown,Tap node,-70.7308535302,-33.2676567852,original
197,Batuco,Chilectra,Substation,-70.7308524627,-33.2676026901,original
198,Punta Peuco,AES Gener,Tap-ed,-70.8259850822,-33.1189320451,original
199,Polpaico,Chilectra,Substation,-70.8265884991,-33.1187843163,original
200,Punta Peuco,Cemento Polpaico,Substation,-70.8271384376,-33.1189833127,original
201,Florida (SCM),Puntilla,Plant,-70.5453536894,-33.5475821135,original
202,El Rincon,Puntilla,Plant,-70.5430030463,-33.5480352958,original
203,Puntilla,Puntilla,Plant,-70.5351858217,-33.6187184396,original
204,Queltehues,AES Gener,Plant,-70.2193299746,-33.8127964452,original
205,Volcan,AES Gener,Plant,-70.214827632,-33.8206461317,original
206,Molinos,Codelco Chile,Substation,-70.2557155003,-33.0932326011,original
207,Santa Rosa Sur,Chilectra,Substation,-70.5979086927,-33.5818693577,original
